PhraseId,Sentiment
156061,3
156062,3
156063,4
156064,1
156065,1
156066,3
156067,3
156068,2
156069,4
156070,2
156071,1
156072,2
156073,1
156074,2
156075,2
156076,4
156077,2
156078,4
156079,4
156080,2
156081,4
156082,0
156083,3
156084,2
156085,2
156086,2
156087,2
156088,2
156089,3
156090,4
156091,3
156092,3
156093,2
156094,3
156095,2
156096,3
156097,2
156098,2
156099,2
156100,2
156101,2
156102,2
156103,2
156104,2
156105,2
156106,2
156107,2
156108,4
156109,2
156110,4
156111,2
156112,0
156113,2
156114,2
156115,2
156116,2
156117,2
156118,2
156119,2
156120,2
156121,2
156122,3
156123,2
156124,2
156125,2
156126,2
156127,2
156128,3
156129,1
156130,3
156131,2
156132,2
156133,2
156134,2
156135,2
156136,2
156137,0
156138,2
156139,1
156140,1
156141,1
156142,2
156143,2
156144,2
156145,2
156146,2
156147,2
156148,2
156149,2
156150,2
156151,2
156152,2
156153,2
156154,0
156155,2
156156,2
156157,2
156158,3
156159,2
156160,2
156161,2
156162,0
156163,2
156164,1
156165,2
156166,3
156167,2
156168,3
156169,2
156170,0
156171,1
156172,1
156173,1
156174,3
156175,3
156176,3
156177,4
156178,3
156179,2
156180,3
156181,3
156182,2
156183,3
156184,2
156185,3
156186,2
156187,2
156188,2
156189,2
156190,2
156191,2
156192,4
156193,4
156194,2
156195,2
156196,2
156197,2
156198,2
156199,2
156200,4
156201,2
156202,2
156203,2
156204,2
156205,2
156206,3
156207,2
156208,2
156209,2
156210,2
156211,2
156212,2
156213,0
156214,0
156215,2
156216,2
156217,2
156218,2
156219,4
156220,2
156221,4
156222,4
156223,2
156224,1
156225,1
156226,1
156227,1
156228,2
156229,2
156230,2
156231,2
156232,1
156233,2
156234,2
156235,2
156236,4
156237,1
156238,4
156239,4
156240,4
156241,4
156242,4
156243,3
156244,3
156245,3
156246,3
156247,3
156248,2
156249,2
156250,3
156251,3
156252,1
156253,4
156254,4
156255,4
156256,3
156257,3
156258,2
156259,4
156260,2
156261,2
156262,3
156263,3
156264,3
156265,2
156266,3
156267,3
156268,3
156269,1
156270,1
156271,2
156272,4
156273,0
156274,4
156275,4
156276,4
156277,4
156278,4
156279,4
156280,4
156281,3
156282,3
156283,3
156284,2
156285,2
156286,3
156287,4
156288,4
